City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Seoul,KR,2022-02-11 07:23:24,37.5683,126.9778,49.51,33,0,5.75,haze
214,Rodeo,US,2022-02-11 07:26:19,38.033,-122.2669,65.84,59,0,5.75,clear sky
215,Kavieng,PG,2022-02-11 07:26:20,-2.5744,150.7967,82.38,77,66,6.04,moderate rain
216,Flin Flon,CA,2022-02-11 07:26:20,54.7682,-101.865,-17.86,92,17,8.68,few clouds
217,Ribeira Grande,PT,2022-02-11 07:26:21,38.5167,-28.7,55.8,82,40,3.44,scattered clouds
218,Chicama,PE,2022-02-11 07:26:21,-7.8447,-79.1469,71.46,74,100,3.83,overcast clouds
219,Zambezi,ZM,2022-02-11 07:26:21,-13.5432,23.1047,66.07,94,100,5.64,overcast clouds
220,Bandarbeyla,SO,2022-02-11 07:26:22,9.4942,50.8122,78.1,55,94,16.55,overcast clouds
221,Ucluelet,CA,2022-02-11 07:26:22,48.9329,-125.5528,46.09,93,53,2.89,broken clouds
222,Puerto Escondido,MX,2022-02-11 07:26:23,15.85,-97.0667,74.77,79,43,4.76,scattered clouds
223,Muravlenko,RU,2022-02-11 07:26:23,63.7898,74.523,-0.96,86,47,13.29,scattered clouds
224,Kungurtug,RU,2022-02-11 07:26:23,50.5994,97.5228,-2.83,84,72,1.57,broken clouds
225,Chai Badan,TH,2022-02-11 07:26:24,15.2,101.1333,97.72,41,100,1.99,overcast clouds
226,Plavsk,RU,2022-02-11 07:26:24,53.7094,37.2919,28.92,97,100,8.43,snow
227,New Norfolk,AU,2022-02-11 07:26:24,-42.7826,147.0587,68.67,32,16,1.99,few clouds
228,Kathmandu,NP,2022-02-11 07:21:41,27.7167,85.3167,61.02,41,20,5.75,few clouds
229,Georgetown,MY,2022-02-11 07:22:05,5.4112,100.3354,84.15,74,20,4.61,light rain
230,Chuy,UY,2022-02-11 07:26:25,-33.6971,-53.4616,66.52,93,0,5.39,clear sky
231,Verkhoyansk,RU,2022-02-11 07:26:26,67.5447,133.385,-29.42,99,84,0.34,broken clouds
232,Uruacu,BR,2022-02-11 07:26:26,-14.5247,-49.1408,67.78,96,100,2.46,overcast clouds
233,Wiarton,CA,2022-02-11 07:27:26,44.7407,-81.1332,29.03,74,100,13.8,overcast clouds
234,Sao Joao Da Barra,BR,2022-02-11 07:27:27,-21.6403,-41.0511,71.46,97,100,7.36,light rain
235,Suraabad,AZ,2022-02-11 07:27:27,40.8192,49.4687,44.78,70,92,0.89,overcast clouds
236,Ahuimanu,US,2022-02-11 07:27:28,21.4447,-157.8378,73.11,86,20,6.91,few clouds
237,Sitka,US,2022-02-11 07:27:28,57.0531,-135.33,33.69,75,40,4.61,scattered clouds
238,Travesia,HN,2022-02-11 07:27:28,15.8667,-87.9,71.13,86,8,2.55,clear sky
239,Cabo San Lucas,MX,2022-02-11 07:27:29,22.8909,-109.9124,67.51,71,4,5.08,clear sky
240,Hambantota,LK,2022-02-11 07:27:29,6.1241,81.1185,84.54,84,40,9.22,scattered clouds
241,Khatanga,RU,2022-02-11 07:27:30,71.9667,102.5,-1.5,85,89,13.8,overcast clouds
242,Aitape,PG,2022-02-11 07:27:30,-3.1374,142.3475,81.03,79,100,3.49,overcast clouds
243,Owando,CG,2022-02-11 07:27:30,-0.4819,15.8999,80.02,62,99,3.49,overcast clouds
244,Kidal,ML,2022-02-11 07:27:31,18.4411,1.4078,61.66,13,0,9.19,clear sky
245,Barabai,ID,2022-02-11 07:27:31,-2.5833,115.3833,85.42,72,100,2.48,moderate rain
246,New Albany,US,2022-02-11 07:27:32,38.2856,-85.8241,38.05,70,75,8.05,broken clouds
247,Avarua,CK,2022-02-11 07:27:32,-21.2078,-159.775,78.85,83,75,13.8,broken clouds
248,Samarai,PG,2022-02-11 07:27:32,-10.6167,150.6667,83.32,65,100,18.99,overcast clouds
249,Lichinga,MZ,2022-02-11 07:27:33,-13.3128,35.2406,61.81,97,100,2.64,light rain
250,Along,IN,2022-02-11 07:23:58,28.1667,94.7667,62.26,65,97,1.77,overcast clouds
251,Sao Filipe,CV,2022-02-11 07:27:33,14.8961,-24.4956,75.7,62,92,7.83,overcast clouds
252,Tessalit,ML,2022-02-11 07:27:34,20.1986,1.0114,56.44,28,87,8.84,overcast clouds
253,Pangkalanbuun,ID,2022-02-11 07:27:34,-2.6833,111.6167,86.13,60,94,4.52,overcast clouds
254,Gurupa,BR,2022-02-11 07:27:34,-1.405,-51.64,72.07,99,100,2.98,overcast clouds
255,Okhotsk,RU,2022-02-11 07:27:35,59.3833,143.3,3.85,86,100,2.71,overcast clouds
256,Lorengau,PG,2022-02-11 07:23:13,-2.0226,147.2712,83.37,77,100,8.3,overcast clouds
257,Guerrero Negro,MX,2022-02-11 07:27:35,27.9769,-114.0611,62.13,48,0,1.92,clear sky
